Contrato;Marca;Categoria;SubCategoria;Moneda;Desc. Royalty;Royalty;BDI;Producto;Cliente;SKU;Descripcion Producto;Precio Unitario Venta Neta;Q Venta Neta;Precio Unitario Devolucion / Descuento;Q Devolucion
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL JUMBO MAIPU;340886;BUBBLE 2014 SUR BARBIE MOCHILA;5034;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL MATIAS COUSI?O;340900;VANILLA 2014 SUR BARBIE LONCHE;5034;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL PUERTO MONTT 3;340900;VANILLA 2014 SUR BARBIE LONCHE;5034;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL MALL PLAZA OESTE;340913;BUBBLE 2015 SUR BARBIE MOCHILA;5034;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL ARAUCO MAIPU;340918;EROS 2015 SUR BARBIE LONCHERA;5034;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL CURICO;340918;EROS 2015 SUR BARBIE LONCHERA;5034;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL MALL PLAZA EL TREBOL;340918;EROS 2015 SUR BARBIE LONCHERA;5034;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;PLAZA EGANA;340918;EROS 2015 SUR BARBIE LONCHERA;5034;1;0;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL CURICO;340944;ABELIA MUSIC  BARBIE CARTERA U;5034;1;0;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL COLINA;340945;ABELIA ROMANTIC  BARBIE CARTER;5034;1;0;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL MELIPILLA;340945;ABELIA ROMANTIC  BARBIE CARTER;5034;1;0;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;OUTLET PARK;340945;ABELIA ROMANTIC  BARBIE CARTER;5034;1;0;0
EC116293;Ever After High;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL MELIPILLA;340908;FAIRY MORADO EAH LONCHERA;5286;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL CHILLAN 2;340912;APPLE 2015 SUR BARBIE MOCHILA;5287;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL MALL PLAZA LOS ANGELES;300355;BUBBLE TREND BARBIE MOCHILA;5371;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL MALL PLAZA SUR;300244;BUBBLE CORE BARBIE MOCHILA;5874;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL SOL 2;300256;BUBBLE ROMANTIC BARBIE MOCHILA;5874;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL PUERTO MONTT;340912;APPLE 2015 SUR BARBIE MOCHILA;5874;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL PUERTO MONTT 3;340912;APPLE 2015 SUR BARBIE MOCHILA;5874;1;0;0
